sqft,bathrooms,price,address,postingDate,numImages,longitude,latitude,bedrooms,title
,,4600,Highland Boulevard at Cowper,1457164800,19,-122.28148,37.916024,3,**Gorgeous Spacious House in Berkeley/Kensington Hills**
650,1,2350,Parker at Shattuck,1457078400,9,-122.26748,37.862226,2,Upper Level of Craftsman Style Home in Prime Berkeley Location
1100,2,3250,,1457251200,14,-122.25,37.8571,2,Spacious Berkeley/Elmwood 2BR/2BA + Patio $3250
250,1,1400,,1456819200,5,-122.27388,37.875025,0,"Studio, Francisco Street. Walk to UCB and North Berkeley BART"
850,1,2100,Creston Road at Marin Ave,1457337600,6,-122.26128,37.897725,1,Berkeley Hills garden in law apartment.Laundry. Avail July 1st.
850,1,2500,2320 Le Conte Ave,1457337600,6,-122.264333,37.874852,1,North Berkeley Apartment. Across from UCB/Haas/LBNL Bus/Labs etc
700,2,2600,2535 Ellsworth St.,1457078400,13,-122.263264,37.863668,2,FOR IMMEDIATE OCCUPANCY Unique floorplan close to U.C. Berkeley
465,1,2485,,1457510400,6,,,1,One Bedroom in Berkeley!!
,,695,Dwight at Shattuck,1456646400,0,-122.257,37.8664,1,shared room for rent for students near cal
875,1,3250,1110 Carleton St,1456732800,9,-122.288796,37.858557,2,"Nice House in Berkeley,pets ok"
1007,2,3117,2020 Fourth St,1456732800,5,-122.300187,37.867284,2,2 Bedroom Home With Large Balcony!
677,1,3697,2119 University Avenue,1456732800,4,-122.267891,37.872267,2,Great 2 bedroom across from campus!
632,1,2470,2020 Fourth St,1456732800,4,-122.300187,37.867284,1,Leap Into Your New One Bedrom Home!!!
2000,1,2550,,1456732800,0,-122.2655,37.8784,2,"Hot Tub, View & North Berkeley Hills"
,,1750,,1456819200,0,-122.255988,37.861959,1,"2115 Haste St # 204 Berkeley, CA"
898,1,3928,1910 Oxford Street,1456732800,4,-122.26678,37.874125,2,Great 2 bedroom across from campus!
,,2400,2925 WHEELER ST,1456732800,0,-122.265307,37.856759,2,NEW/2BEDRM1BATH $2400- 3/1 AV.
,,2595,spruce at hearst,1456732800,5,-122.265365,37.874667,1,Blending relaxation & convenience to create the ideal place to live
540,1,2484,,1456732800,4,-122.279692,37.870566,1,Deal with the Hassles of Moving Before the New School Year!
707,1,3491,2110 Haste St,1456732800,4,-122.267676,37.865046,2,Gorgeous downtown apartment!
707,1,3491,2110 Haste St,1456732800,4,-122.267676,37.865046,2,Gorgeous downtown apartment!
864,1,3500,2055 Center St.,1456732800,6,-122.269647,37.87019,1,ONE BEDROOM ONE BATH READY FOR IMMEDIATE MOVE-IN!
450,1,1700,Walnut at Vine,1456732800,20,-122.268219,37.87946,1,unfurnished one-bedroom apt.
790,1,2400,1622 Parker St,1456732800,12,-122.277445,37.860778,2,"Immac Top Floor 2 Bdrm--Large Deck, 10 Min Bike Ride to Campus!!"
,,1590,2313 Roosevelt,1456732800,4,-122.275751,37.865859,1,"3 Blocks to Bart, Shattuck Ave shopping.Parking. Laundry. Wood floors."
1155,2,3995,3015 San Pablo AVe,1456732800,20,-122.2851,37.8656,2,"Higby- Were Beautiful,New, 100%Green and Luxury"
,,2200,Oxford at Vine/Cedar,1456819200,0,-122.267339,37.879697,0,Exceptional High-End Loft-Style Studio
,,1995,2451 LE CONTE AVE,1456819200,5,-122.26196,37.876533,0,WALK TO CAMPUS! N. Side studio. 2 blks to UCB
677,1,3402,1370 University Avenue,1456819200,4,-122.28518,37.86994,2,Our Gorgeous Two Bedroom One Bath Apartment Home Is Waiting for YOU !
620,1,2700,university ave at san pablo,1456819200,5,-122.290814,37.869247,2,2 Bed 1 Bath- Unit 301
620,1,2700,university ave at san pablo,1456819200,12,-122.291114,37.869111,2,2 Bed 1 Bath- Unit 308
620,1,2700,1122 university ave,1456819200,9,-122.291751,37.869116,2,2 Bed 1 Bath- Unit 301
705,1,2750,1122 university ave,1456819200,5,-122.291751,37.869116,2,2 bed 1 bath - Unit 212
720,1,3300,2055 Center St.,1456819200,8,-122.269647,37.87019,1,"One Bedroom, One Bath! Amazing Location!"
671,1,3466,1370 University Avenue,1456819200,3,-122.28518,37.86994,2,Awesome Two Bedroom Apartment Home !
,,32004000,,1456819200,6,,,0,2 Bedroom Apt.
,,2095,2124 McKinley Ave,1456819200,11,-122.274482,37.870009,1,"1920's 1 Br Apt, hardwood floors, near Downtown BART, parking, O.H. Th"
,,2900,830 East 28th Street at Park Blvd,1456732800,16,-122.237555,37.802537,2,"~*~*~ Nice FLAT with Views, Deck, W/D, Garage, Patio, and Garden ~*~*~"
,,2250,University Avenue at McGee Avenue,1456732800,5,-122.27788,37.870825,1,"PRIVATE APARTMENT 1 BEDROOM, 1 BATHROOM"
2000,2,2400,1251 Pear Drive,1456732800,0,-122.041841,37.946973,4,House
965,1,2495,,1456732800,10,-122.288089,37.822124,1,Modern & Spacious Loft-style Townhouse
1000,1,2700,Grace Avenue at Lowell Street,1456732800,0,-122.27708,37.843026,1,WHEELCHAIR ACCESSIBLE SINGLE STORY LOFT
800,1,2390,College at Alcatraz,1456732800,4,-122.252254,37.851882,1,Cute apartment with a great community
1300,,3100,6466 Hollis Street,1456732800,6,-122.29153,37.846026,2,Convenient Condo in Emeryville - 2 bed/2.5 bath
625,1,2300,1121 40th ST at Adeline Street,1456732800,9,-122.278862,37.830667,1,"Contemporary/Urban One Bedroom Condo, 'Andante' Emeryville"
1460,2,2850,,1456473600,11,-122.1587,37.7205,4,*SanLeando Marina/Downtown/Bart/HWY880/580 & Kaiser
1600,,3100,,1456732800,0,-122.2804,37.8365,4,"Spacious 4 bedroom in nice neighborhood, section 8 welcome"
672,1,2218,11720 San Pablo Avenue,1456732800,12,-122.319836,37.92706,1,Upgraded and Pet Friendly Community
1830,2,2600,,1456732800,16,-122.2875,37.9969,4,Quiet Neighborhood 4Bed End Unit TH + Yard
,,1995,2427 Hilgard Ave,1456732800,4,-122.262533,37.878444,0,2427 Hilgard Ave. 4 blocks to UCB/HAAS/LBNL bus. Hardwoods
850,1,2550,2427 Hilgard Ave,1456732800,10,-122.262923,37.878331,1,Furnished apartment 4 blocks to UCB/Haas/Bus to LBNL. Avail 2/27/16
1880,,4900,,1456732800,4,,,3,Stunning Hiller Highlands townhouse: vast SF & 3 bridge views
2100,,2950,Elission Lane at Martin Dr.,1456732800,12,-122.370808,37.956059,4,large 4 Bedroom 2.5 Bath in a safe area Richmond new House Close to SF
,,2500,830 East 28th Street at Park Blvd,1456732800,14,-122.237555,37.802537,2,~*~*~ $1000 Rent Discount to Move in - Plus a Great Rent ~*~*~
980,1,3800,,1456732800,7,-122.257,37.8664,3,3 bedroom/ 1 bath located 2 block away form UC Berkeley campus
600,1,1850,1329 rose st,1456732800,5,-122.287807,37.877134,1,1BR/1 BA Berkeley 10 minute walk to BART-remodeled/updated
750,1,2650,2321 Dwight Way,1456819200,0,-122.263031,37.864687,2,"Nice Spacious 2 BR Apt, Secure Bldg, 8 Min Walk to Campus "
682,1,1399,2751 Peppertree Dr,1456819200,10,-122.012357,38.275976,1,"San Francisco or Sacramento, You're Half Way There!!!"
300,1,1975,8th at Cedar,1456819200,5,-122.297552,37.874108,0,Brand New Detached Studio -- Great Location
,,2600,473 Alcatraz Ave,1456819200,5,-122.259614,37.850154,2,Rockridge 2 Bedroom. Fantastic Apartment!!!
,,1700,473 Alcatraz Ave,1456819200,4,-122.259647,37.850112,1,Rockridge 1 Bedroom. Great Apartment! Clean and New.
900,1,2975,833 - 54th Street at Martin Luther King,1456819200,15,-122.2804,37.8365,2,"Luxurious apt. granite countertops, dishwasher, built-in microwave"
875,1,2445,Willow Street at Franciscan Way,1456819200,7,-122.25618,37.757928,2,"TWO-BEDROOM, UPSTAIRS, BRIGHT, GATED COMMUNITY!"
735,1,2225,Willow Street at Franciscan Way,1456819200,6,-122.25618,37.757928,1,"One-Bedroom, Downstairs, Wood Floor, Private Yard, Gated Community"
,,2495,,1456819200,5,-122.25,37.8571,2,"Nice 2 bedroom, great neighborhood!!"
650,1,2000,milvia at vine,1456732800,16,-122.271309,37.879071,2,"2-bedroom, unfurnished apt."
,,2150,riverside at amador,1456732800,3,-122.327313,37.953673,2,"Spacious Home near Schools, Shopping and Transportation"
1155,2,3995,3015 San Pablo AVe,1456732800,18,-122.2851,37.8656,2,Are You Still Looking? Well Come Home To Higby
700,700,2125,Willow Street at Franciscan Way,1456819200,8,-122.25618,37.757928,1,"One-Bedroom, Downstairs, Gated Community"
,,1895,1494 Solano,1456819200,24,-122.288263,37.890925,1,Berk/Albany Border-Just Remodeled Apt ON Solano-Top Floor-OPEN TUES
700,1,2000,5630 Shattuck,1456819200,9,-122.265242,37.841963,1,Convenient 1BR 1 bath 4 plex
400,1,1500,Lincoln St. at Milvia,1456732800,0,-122.27,37.877445,1,Nice and clean apartment near UCB
,,1895,2817 College ave,1456819200,0,-122.253947,37.859714,0,2817 College Ave. is located in the quiet and friendly Elmwood Area ar
900,1,2400,Shattuck ave at Aileen,1456819200,7,-122.26528,37.842226,2,Convenient Sunny 2 BR with backyard 4 plex
675,1,2600,1 Lakeside drive,1456819200,4,-122.261117,37.804037,0,"LUXURY STUDIO SUITE @ ESSEX LAKE MERRITT,POOL,GYM,PKG INC TOO!"
1955,,3800,Seagull Drive at Seabreeze Drive,1456819200,0,-122.341218,37.909804,4,Marina Bay 4 bed rooms
1190,2,4100,1 lakeside drive,1456819200,5,-122.26178,37.804227,2,"LUXURY HIGH 17th Floor 2/2 @ ESSEX LAKE MERRITT,POOL,GYM,PKG INC TOO!"
550,1,1800,2321 Dwight Way,1456819200,0,-122.263031,37.864687,0,"Nice Spacious Studio, Secure Bldg, 8 Min Walk to Campus "
,,2435,,1456819200,4,,,2,excellent living enviornment
705,1,2750,1122 university ave,1456819200,0,-122.291751,37.869116,2,2 bed 1 bath- Unit 312
670,1,2750,1 Lakeside Dr.,1456819200,9,-122.26178,37.804227,1,"LUXURYJR. 1BR/1BA@ ESSEX LAKE MERRITT,POOL,GYM,PKG INC TOO!"
705,1,2750,1122 university ave,1456819200,5,-122.291751,37.869116,2,2 bed 1 bath - Unit 212
705,1,2750,1122 university ave,1456819200,3,-122.291751,37.869116,2,2 bed 1 bath- Unit 206
2400,,4500,Harmon at King,1456819200,15,-122.27428,37.849526,3,Charming Victorian Home plus Cottage
,,2295,,1456992000,10,-122.25,37.8571,0,Berkeley Apartments 4 Rent Sunday! Apply in Person! Rain or Shine!
,,2495,2132 Roosevelt,1457078400,10,-122.27643,37.868947,2,"2132 Roosevelt Ave., 2BD/1BA, Close to CAL & Downtown Berkeley"
1068,1,3000,Park St,1456992000,11,-122.28378,37.857426,2,Berkeley 2 bedroom bungalow
900,,3000,1615 Arch St,1457078400,12,-122.2655,37.8784,2,Beautiful North Berkeley house 2BD/1BA
,,3150,2020 Kittredge St.,1457078400,8,-122.27018,37.868309,2,Nice apartment in downtown Berkeley
875,1,3250,1110 Carleton St,1456992000,7,-122.288796,37.858557,2,"Nice House in Berkeley,pets ok"
1800,,3500,,1457164800,0,-122.270536,37.87946,2,"Berkeley House for Rent in ""Gourmet Ghetto"""
790,1,3435,Kittredge at Milvia,1457078400,9,-122.269056,37.868146,2,2 Bed 1 Bath in the heart of Downtown Berkeley!
1000,1,1200,,1457164800,0,-122.2967,37.8606,2,Housing for UC Berkeley students only
660,1,2400,Arch Street at Cedar Street,1457164800,6,-122.264464,37.879528,1,1 Bed 1 Bath Apartment - Berkeley - Gourmet Ghetto
500,1,1900,King Street at Julia Street,1457164800,5,-122.27488,37.855726,1,"1 BD Apt., Great South Berkeley Location"
663,1,3365,,1457337600,4,,,2,Live Right By Campus!
2500,3,4895,Paru St at Buena Vista Ave,1456387200,23,-122.254894,37.776583,4,"3Ba, Executive Home near Marina ***PHOTOS***"
966,1,3000,585 9th St. at Clay St.,1456387200,15,-122.276394,37.801994,1,1BR/1BA Spacious Condo - Old Oakland
1000,1,3300,Aileen at Market,1455523200,14,-122.274013,37.841038,2,"+Office, Modern Elegant Secure Newer Duplex, attached Garage, W/Dryer"
1100,2,3200,555 Pierce street,1456473600,10,-122.306758,37.892503,2,2B/2B Gateview Condo with Panoramic Bay View (All Utilities included!)
1750,2,3100,,1456473600,0,-122.124,37.7024,4,OWN SAN LEANDRO HOME INSTEAD OF RENTING SPECIAL GOVERNMENT FINANCING
1000,1,3500,59th at San Pablo Avenue,1456473600,24,-122.282842,37.842106,1,One of a kind 1 bed/1 bath Loft in Old Firehouse Oakland/Emeryville
840,2,4250,,1456473600,6,-122.257,37.8664,2,FURNISHED TWO BEDROOM READY FOR MOVE IN IMMEDIATELY!!!
,,2419,,1456473600,4,,,0,"Amenity home, yard, garden vacant last Feb"
,,2395,2419 Durant Ave.,1456300800,4,-122.261358,37.867681,1,Huge two bedroom w/o living room. One block from UC campus. Open House
3179,,3975,,1456473600,24,-122.094594,37.608019,5,5 bedrooms/4.5 bathrooms - Home in Amazing Community
3179,,3975,,1456387200,24,-122.094594,37.608019,5,5 bedrooms/4.5 bathrooms - Home in Amazing Community
,,1295,2312 Ellsworth,1454572800,21,-122.264142,37.867818,0,3/1 or Now! Charming Studio 1/2 BLOCK TO UC!!!
,,1295,2312 Ellsworth,1454745600,21,-122.264142,37.867818,0,6/1 STUDIO 1/4BLock to UC!! Won't Last
640,1,2100,1644 Oxford St,1456300800,5,-122.267235,37.877817,1,"Spacious 1BR. Fits 3. Elev. North BRK. 2 blk UC, Gmt Ghetto."
350,1,1200,W Richmond Ave at Martina St,1456387200,11,-122.387482,37.927424,0,"2 blcks fr DT Point Richmond, Furnished hotel style, f equipped Kitchn"
840,2,4250,2024 Durant Ave.,1455868800,5,-122.269917,37.866524,2,AMAZING 2 BED/2 BATH CLOSE TO UC BERKELEY AND FINE DINING!!!
2400,,4500,Harmon at King,1456128000,15,-122.27428,37.849526,3,Charming Victorian Home plus Cottage
,,2350,woolsey at king,1456128000,4,-122.27457,37.850866,2,"2 story living space, Convenient location"
,,2495,2125 Durant Ave,1456128000,6,-122.267715,37.86685,1,SingleFamily house 1bed/1.5 bath with loft close to UC&shops must See!
,,2250,University AVENUE,1456128000,5,-122.27338,37.871525,1,"1+1 FULLY FURNISHED UNIT, LONG or SHORT TERM LEASE, INCLUDE UTILITIES"
700,1,2100,1590 Oregon Street,1455782400,5,-122.278063,37.85636,2,Large and Clean 2 Bedroom 1 Bath
700,1,2100,1917 6th Street at University,1456128000,4,-122.298315,37.869097,2,Spacious Two Bedroom close to UCB @University Ave.
,,2250,University AVENUE,1456128000,5,-122.282038,37.871263,1,1 bedroom 1 bathroom fully furnished. NO EXTRA FEEs
,,1699,6616 Telegraph Ave,1456128000,0,-122.260796,37.852308,1,TELEGRAPH/ASHBY LARGE 1BR/1BA APT FOR RENT BEST LOCATION
,,1995,2451 LE CONTE AVE,1456128000,5,-122.26196,37.876533,0,WALK TO CAMPUS! N. Side studio. 2 blks to UCB
,,3850,Channing Way at California Street,1454140800,6,-122.278883,37.864487,2,"Short term, charming 2-3 bedroom furnished home, courtyard garden"
,,3100,Prince St at King St,1456214400,15,-122.27458,37.852126,2,House For Rent
,,3100,,1456214400,14,-122.275,37.851908,2,Great House and Centrally Located
,,2695,1622 Milvia,1456214400,9,-122.27178,37.877002,2,Newly remodeled 2 Bedroom 1 Bathroom remodeled unit at 1622 Milvia
1155,1155,3995,San Pablo at Ashby,1455350400,6,-122.28698,37.852226,2,There's no place like home. Live Higby. Welcome Home.
1345,2,4995,3015 San Pablo Ave,1455350400,5,-122.286876,37.851736,3,Spacious 3 bedroom with Amazing Views of The Bay
,,5200,Dwight at Fulton,1456387200,0,-122.26578,37.864326,4,Loft Style 4+ BR - Walk to UC - South Side
,,2850,1503 Oxford St.,1455177600,9,-122.267378,37.880388,2,Beautiful 2 bedroom close to UCB - 1503 Oxford #1
650,1,2495,1243 allston way,1456387200,10,-122.287494,37.866897,1,April Thru October - Video Tour - Built in wood cabinetry
,,2250,University AVENUE at McGee Avenue,1456214400,5,-122.27751,37.87089,1,1 bedroom 1 bathroom fully furnished. NO EXTRA FEEs
,,1000,2490 Channing Way,1456214400,4,-122.259636,37.867093,0,Privately owned UCB student housing! Call now one month free!!
,,2250,University AVENUE at McGee Avenue,1456214400,5,-122.27788,37.870825,1,1 bedroom+1 bathroom fully furnished apartment
,,2350,,1455091200,4,-122.29488,37.839826,0,Newly Remodeled 1BR Apartment in Luxury Highrise /w Easy Access to SF
1168,2,3530,651 Addison Street,1456214400,0,-122.301595,37.865903,2,$500 Off Deposit for a Spacious Two Bedroom with an Outdoor Patio!!
,,950,Channing Way at Telegraph Avenue,1456214400,4,-122.25938,37.867126,0,2 Blocks from Campus-Renting Now! All inclusive!! One Month Free!
,,2250,University AVENUE at McGee Avenue,1456214400,5,-122.277811,37.871296,1,"FULLY FURNISHED - 1BEDROOM,1 BATHROOM"
1155,2,3995,San Pablo at Ashby,1456214400,11,-122.28698,37.852226,2,"Higby Apartments, Welcome Home"
,,1695,1621 Blake Street,1455004800,12,-122.278451,37.861687,1,► AVAILABLE NOW: Blake Street - More Garden than Apartment!
,,2100,Oxford at Virginia,1455955200,9,-122.266921,37.877868,1,1Bed/Ba near UCB/BART (Open House: Feb 27)
705,1,2750,1122 University ave,1456214400,12,-122.291751,37.869116,2,2 bed 1 bath- Unit 212
1100,,3120,1122 Univeristy,1456214400,5,-122.291222,37.868993,2,2 Bed 2.5 Bath Townhouse- Unit 225
600,1,2695,2431 9th St,1455091200,13,-122.292427,37.861875,2,"Welcome to your next home. This two bed, one bath apartment is an urba"
,,2395,2087 Delaware,1453795200,24,-122.269411,37.874776,2,Avail Now or 3/1/16! 2 BED Remodeled Wlk to UC Cafes!
,,950,Channing Way at Telegraph Avenue,1456214400,4,-122.25938,37.867126,0,One Month Special- 2 Blocks from Campus! Renting Now! All inclusive!!
620,1,2700,1122 university ave,1456214400,4,-122.291751,37.869116,2,2 Bed 1 Bath- Unit 301
705,1,2750,1122 university ave,1456214400,7,-122.29238,37.869026,2,2 bed 1 bath- Unit 312
,,2395,2087 Delaware,1453795200,24,-122.269411,37.874776,2,"Avail Now, Remodeled 2 BED in Gourmet Ghetto Minutes to UC!!!"
610,1,2700,university ave at san pablo,1456214400,12,-122.291501,37.869044,2,2 Bed 1 Bath- Unit 114
,,2595,Haste St at Shattuck Ave,1455264000,0,-122.26788,37.865026,2,"2007 Haste St, # 5"
,,1650,russell st at claremont blvd,1455004800,11,-122.245179,37.858926,1,1 Bdrm Apt in Claremont/Elmwood Area
,,2695,Dwight Way at Milvia St,1455091200,0,-122.27028,37.863626,2,"1947 Dwight Way,# 24"
2000,,5950,La Loma at Ridge,1454227200,0,-122.257018,37.876632,4,4 Bed House 1 Block to CAL
870,1,3600,2617 Hillegass Ave,1456128000,4,-122.255945,37.862759,3,Available June 1 Hillegass near Parker 1/2 mile to U/C
810,1,3300,2617 Hillegass Ave.,1456128000,4,-122.255881,37.862827,3,"Available June 1, Hillegass near Parker 1/2 mile to U/C"
700,1,3020,1100 Pacific Marina Street,1456214400,6,-122.264657,37.782316,1,Expand Your Point of View! This 1 Bedroom 1 bath won't last long!
1100,1,3200,Walnut at Virginia,1456214400,0,-122.267683,37.876937,2,Large 2BR/1BA with in unit Laundry
,,10500,Cedar St. at Shattuck Ave.,1456387200,0,-122.268705,37.878532,8,8++ bedroom-Walk to UC
1155,,3995,San Pablo at Ashby,1453968000,5,-122.28698,37.852226,2,Higby Apartments- Welcome Home!
490,1,1600,Francisco at Grant St.,1456560000,7,-122.27608,37.874825,1,"Good location,North Berkeley, near UC,bart,shop, transportation"
200,1,1250,2511 Hearst Ave.,1455264000,2,-122.2597,37.875209,0,STUDIO ACROSS THE STREET FROM UC Berkeley
,,2250,,1456560000,0,-122.249594,37.867096,1,1BR < 1/ mile from UC Berkeley
,,2095,Atherton,1456560000,5,-122.26488,37.866326,1,"Top floor, Sunny Apt. close to UC Berkeley campus"
,,1800,,1456560000,8,-122.291559,37.861054,1,Berkeley apartment unique loft
650,1,2600,1833 63rd at Dover,1456560000,12,-122.270021,37.84829,2,"Lovely, bright 2 bedroom, 3 blocks from Bart"
650,1,2400,1709 Shattuck Ave,1456560000,6,-122.26938,37.876125,1,Remodeled One Bedroom(s) with Balcony in Gourmet Ghetto
425,1,2100,1709 Shattuck Ave,1456560000,5,-122.26938,37.876125,0,Just renovated beautiful studio apartment
350,1,1200,W Richmond Ave at Martina St,1456560000,11,-122.387482,37.927424,0,"2 blcks fr DT Point Richmond, Furnished hotel style, f equipped Kitchn"
,,2800,Martin Luther King Jr at Russell St,1456560000,7,-122.271352,37.854949,2,Newly remodeled commuter's dream apt
720,1,3050,2055 Center St.,1456560000,6,-122.269647,37.87019,1,LUXURIOUS 1BED/1BATH WASHER/DRYER IN UNIT!!! WEEKEND SPECIAL
1150,2,3995,San Pablo at Ashby,1456560000,12,-122.28698,37.852226,2,Higby Apartments- Brand New Beautiful Building with Gorgeous views!
620,1,2700,university ave at san pablo,1456560000,12,-122.291436,37.869077,2,2 Bed 1 Bath- Unit 301
1345,2,4995,San Pablo at Ashby,1456560000,6,-122.28698,37.852226,3,"Higby Apartments, Brand new Refined Living, Welcome home!"
565,1,2300,5th street at delaware,1456560000,5,-122.299397,37.870416,1,"Historic Water Tower near 4th St District, Close to Everything"
1345,2,4995,San Pablo at Ashby,1456560000,9,-122.28698,37.852226,3,Higby Apartments- Brand New Apartments with Gorgeous views of the Bay
400,1,1595,1630 University Ave,1456560000,7,-122.27943,37.870587,0,charming 1920s studio near BART & Downtown
1150,2,3995,San Pablo at Ashby,1456560000,12,-122.2851,37.8656,2,Welcome to Higby Apartments where there is no place like home!
1155,2,3995,3015 San Pablo AVe,1456560000,19,-122.2851,37.8656,2,Experience Ultimate Comfort & Convenience Living At Higby
700,700,2125,Willow Street at Franciscan Way,1456560000,8,-122.25618,37.757928,1,"One-Bedroom, Downstairs, Gated Community"
1100,,3120,1122 Univeristy ave,1456560000,6,-122.291393,37.869077,2,2 Bed 2.5 Bath- Unit 225
650,1,2150,oxford at cedar,1456560000,6,-122.26728,37.878625,1,"Large Bright Quiet Unit with Balcony, 3 Blks to UC & BART"
700,1,1995,"1011 62nd street, B",1456300800,4,-122.2804,37.8365,2,"Open House- NOBE Location, Your own Washer/Dryer"
,,1550,2602 Jetty Drive,1456473600,5,-122.346207,37.918022,0,MOVE IN READY! Townhouse with 1 large nice master bedroom for rent!
,,998,,1456473600,5,-122.3369,37.9724,1,"house for rent/share, 二楼大房"
,,2500,,1456473600,7,,,3,"2nd Fl, house for rent/share二楼整层"
,,1550,2602 Jetty Drive,1456473600,5,-122.346207,37.918022,0,MOVE IN READY! Townhouse with 1 large nice master bedroom for rent!
,,1550,2602 Jetty Drive,1456473600,5,-122.346207,37.918022,0,MOVE IN READY! Townhouse with 1 large nice master bedroom for rent!
,,1550,2602 Jetty Drive,1456473600,5,-122.346207,37.918022,0,MOVE IN READY! Townhouse with 1 large nice master bedroom for rent!
580,1,1550,M.L. King Jr. Way at Allston way,1456560000,0,-122.272618,37.868518,1,A Studio Apartment near UCB in Downrown
1100,1,2850,Stanford Avenue at Lowell Street,1456560000,0,-122.277242,37.842944,1,Brand New: Stanford Triangle Lofts
700,1,2200,Stanford Avenue at Linden Street,1456560000,0,-122.277231,37.842902,1,BRAND NEW LOFTS
1170,2,3250,535 Pierce ST,1456560000,9,-122.306864,37.89372,2,2BD-2BA/ Albany Condo@/Bayside Commons/Near Bart&UCB/Pool/Gym/Luxury
850,1,3000,1709 shattuck,1456560000,5,-122.26938,37.876125,2,Remodeled Two Bedroom(s) in Gourmet Ghetto
,,1495,parnell court at oak road,1456560000,4,-122.058073,37.923323,1,New Studio
728,1,2250,260 Caldecott Lane,1455436800,15,-122.220991,37.858202,1,"Parkwoods, Oakland Condo is Now Available!"
,,1395,Walters Way,1456560000,0,-122.039273,37.960622,1,"Cozy furnished studio,Concord,walk to BART,Walnut Creek, DVC"
735,1,2225,Willow Street at Franciscan Way,1456560000,6,-122.25618,37.757928,1,"One-Bedroom, Downstairs, Wood Floor, Private Yard, Gated Community"
500,1,1800,Santa Clara Ave. at Grand St.,1456560000,5,0.0,0.0,1,"Elegant, Victorian one bedroom upper unit in Alameda"
580,1,1690,Arlington Blvd. at Scenic,1456560000,3,-122.306843,37.930676,1,In-Law Apartment - All Utilities Included - Furnished or Unfurnished
560,1,1580,6500 Donal Ave,1456560000,9,-122.310771,37.918088,1,El Cerrito one bed-room for Rent $1580/month
1073,1,3687,6399 Christie Ave,1456560000,9,-122.29558,37.844026,1,2-Bed/2-Bath Apt Located in Emeryville
731,1,2792,6399 Christie Ave,1456560000,6,-122.29558,37.844026,1,Your dream home is waiting for you!
900,1,2975,833 - 54th Street at Martin Luther King,1456560000,17,-122.272382,37.838649,2,"Luxurious apt. granite countertops, dishwasher, built-in microwave"
881,1,2850,2355 Broadway,1456560000,7,-122.2668,37.8085,1,Downtown Loft Living Prime Location
1050,2,5800,2242 San Jose Ave.,1456560000,12,-122.24818,37.761571,3,Short term or long term rental Victorian apt.
1700,2,3200,2302 Carquinez Ave,1456560000,0,-122.311864,37.93247,3,"Lovely Contemporary 1,700sqft Home for Rent El Cerrito"
