,address,bathrooms,bedrooms,description,latitude,longitude,sqft,title,price per room
10,2031 Shoreline Dr.,0,2,"
apartment$ -
One parking space includedYear
lease$600Cats Allowed (Extra
deposit may be required), No DogsCoin-operated
Laundry
Office
Hours are 9-5pm Closed for Lunch 12-1pm
",37.757184,-122.257469,0,"2031 Shoreline- 2BD/1BA, Carpeted, Private Patio, Pool, Live by Beach!",1247
11,Willow Street at Franciscan Way,0,1,"
Southshore Gardens Apartments is a gated community with a beautiful garden setting. We offer one and two-bedroom apartments and cottage homes. 
A one-bedroom apartment is ready for immediate occupancy. This unit is downstairs, bright and spacious at approximately 700 Square Feet. In addition to the above, a carport parking and a 9' x 3' x 5' carport storage will be available.
Rent: $2,125 (includes water, sewer & garbage). Resident only pays electricity and gas.
Southshore Gardens Apartments is conveniently located in Alameda, a block from beautiful Crown Memorial Beach and the very popular Alameda Town Centre Shopping Center where you will find almost everything you need. The Transbay Express bus to Mission and First Street in Downtown San Francisco, and buses to Fruitvale BART and the Alameda/Oakland Ferry are feet away. Freeway 880 is easily accessible to San Francisco, Oakland, Berkeley and Fremont.
Community features:
- Beautiful Garden Setting Style
- Community Pool
- Four On-Site Laundry Rooms
- Eco Friendly - Recycling 
- On-Site Management & Maintenance
- Assigned Carport Parking
- Free Storage 
Interior Features:
- Wide Glass Window Style
- Fresh Paint
Pet Policy: Indoor cats (spayed/neutered, maximum two) with additional deposit and monthly rent. 
Come tour our community today. 
We are located at 417 Willow St, Alameda, CA 94501 or call
to schedule a tour today!
Thank you for viewing this posting!
",37.757928,-122.25618,700,"One-Bedroom, Downstairs, Gated Community",2125
12,2242 San Jose Ave.,2,3,"
Luxurious executive apartment in Alameda, CA. This Victorian 1895 building has 3 bedrooms 2 baths. fully furnished. It has a beautiful redwood ceiling. Brick chimney in the living room; air conditioning, new kitchen cabinets, granite countertops, dishwasher, new refrigerator, gas stove, microwave oven and new tile flooring.
The building is just 2 blocks from Parks St. in the desirable Gold Coast District in Alameda, CA. There is easy access to the Oakland airport, Berkeley, Emeryville, San Francisco, Oakland, Fremont, Piedmont, Hayward and San Leandro.
$220.00 per day. 7 days minimum
$1,540.00 per week
$5,200.00 per month. 15% discount for long term renters.
$600.00 security deposit
NO PETS, NO SMOKING
off street parking
Call
AVAILABLE Feb 27, 2016
",37.761571,-122.24818,1050,Victorian Apartment with redwood ceiling and deck,1733
13,College Ave.,0,2,"
Spacious two-bedroom, 1+ bathroom Apartment for rent in Berkeley Elmwood District, available 6/1/16 with renewable one-year Lease. $3600 - $4000. Smaller 2+ bedroom, 1 bathroom Apartment in building also available. $3200 - $3500
Located next to historic Landmark, Julia Morgan Center for the Arts, this quiet well-maintained 4-unit building has high ceilings and other antique details, combined with renovated plumbing and electrical systems. Across the street from Sacks Coffee house/cafe, a public laundromat and small grocery store, the building is 1/2 mile south of U.C. campus, and 3-blocks north of lively central Elmwood business district with shops, restaurants, and a movie theater. Looking for 2 - 4 tenants, non-smokers, with no pets. Last month's rent and Security Deposits required. Call for information: Leigh
",37.7641,-122.1633,0,Open House,1600
14,901 Shorepoint Court,1,1,"
Â Carmel Â— 1 Â bed / 1 bath / 700 sq ft / $2,145 - $2,341  * Unit F307 - Available Now * Unit E131 - Available Now * Unit A210 - Available Now RESORT REMIX  South Shore Apartments sits on 15 acres of lushly landscaped grounds on Alameda, a bike and pedestrian-friendly island close to Oakland, Berkeley and San Francisco. Do laps in the pool, sweat in the sauna or soak in the spa. It's the best of resort living, close to it all.  * Billiards and Table Tennis  * Fitness Center  * Clubhouse  * Four Swimming Pools and Spa 
x207 Equal Housing Opportunity
",37.764228,-122.27228,700,1BD and WE SPEAK WOOF! Bring your Furry Friends to South Shore,2145
15,5918 Bromley Ave,2,4,"
5918 Bromley Ave, Oakland, CA. 94621
Please TEXT or EMAIL agent at:
for more information
Thank you for your interest in our company's rental property. Here at PMP Realty we appreciate your time and interest. Please read this advertisement until the very end. 
Currently we have apartment unit available for rent in Oakland. 
Open House: Most Weekends. Call for more information on the scheduling. 
KEY FEATURES:
- Rent amount: $2500
- Sq Footage.: ~1700 sq.ft
- Bedrooms: 4 Beds
- Bathrooms: 2 Bath
- Parking: 1 Off-Street car parking
- Lease Duration: 1 Year (see details below)
- Deposit: $2500
- Laundry Hook-ups
- Pets Policy: No Pets
- Property Type: Single Family House
- Section 8 is welcomed by owner.
- Conveniently located near the bus stations for:
- 1 Berkeley Bart
- 1 Bay Fair Bart
- 1R Rapid Bus
- AC Transits: 45 Foothill Square/45 Eastmont Transt Ctr
801 Intl-Mission/International
Lease Term - min 12 months / NO Pets / NO Smoking
Tenants pay for: PG&E, garbage and water. 
For more information please text our agent Kason Chiu, (BRE#01960613, at
(Texting only)Tenant(s) shall pay for all utilities
- No Smoking
- No Pets    
",37.766737,-122.196381,1700,Spacious 4 Bed/ 2 Bath Unit available in Oakland,625
16,0 0,3,5,"
5 bedrooms 3 baths 3300 sq. ft. single family home in Alameda, CA with its aesthetically pleasing architecture and traditional tree-lined streets. Close to Crown Beach a 2 mile long beach on the south side of the Island of Alameda.
AMENITIES:
Large kitchen with granite countertops, center island and breakfast nook.
Stainless steel appliances: GE dishwasher, 2 ovens
Microwave oven
Elegant entry foyer with marble tiles
9 foot ceilings
Washer & dryer on 2nd floor
Very large master bedroom (15 ft. by 30ft.) with coffered ceiling
Amazingly large master bathroom with Jacuzzi tub, glass shower and 2 sinks.
Large walk-in closet
Charming French doors with balcony
Backyard with gas bar-be-que grill and patio furniture
2 car garage plus 3 additional free parking spaces
3 -- 42"" HDTV
Free wireless internet
5 minute drive to the Oakland Jackson Street Onramp to I-80 freeway to Berkeley, Piedmont, Oakland, San Francisco, Walnut Creek, Emeryville, San Jose, Livermore, Pleasanton, Dublin and Richmond.
$8,600.00 monthly. Short term lease, minimum of 1 month.
180 cleaning fee; $1000 refundable security deposit. Maid service 1 day per week at additional cost.
Will accept a company check a minimum of 30 days before check-in.
Accept credit cards. 3% service fee will be charged.
15 minutes to the Oakland airport; 20 minutes to U.C. Berkeley
NO SMOKING; NO PETS
AVAILABLE: April 1, 2016 
Call
For more information go to: http://gettencorporatehousing.com/
",37.7706,-122.2648,3400,Elegant furnished home; rented on a monthly basis,1720
17,500 Canyon Oaks Dr.,0,2,"
Two Bedroom, Two Bath $2,750/mo
1125 Sq. Ft.
Two private bedroom with each private bath
Granite Counter top, new flooring, new cabinet
Stainless Steel appliances
Full size washer/dryer
Fireplace 
Large Decks or patios
Two Bedroom, 2.5 Bath Townhouse $2,925/month
1316 Sq. Ft.
Granite Countertops
Stainless Steel Appliances
Full Size washer/dryer
Fire Place
Private gated community with reserved covered parking, state of the art fitness center, resort caliber swimming pool. Beautiful Hillside views. Easy access to 580 freeway. Convenient to Bart, Bay Bridge, Berkeley, Oakland Airport, Montclair Shopping District, Jack London Square. 
Please call or email to schedule tour of our property.
",37.772155,-122.148661,0,"Newly Renovated 2 BR, - Shadow Woods Apartments",1375
18,615 Canyon Oaks Drive,2,2,"
 Short distance to Redwood Regional Park, Leona Canyon, walking and hiking trails. Easy access to highways 580/238/880/13.
Convenient to Google Bus, BART, Bay Bridge, Berkeley, Oakland Airport, Montclair Shopping District, Jack London Square.
 This immaculately clean condo has cherry wood floors, berber carpets, two tone painting with crown molding, tile flooring in bathroom & kitchen, granite counter tops and stainless steel appliances 
Rent: $3,000 per month + $3,000 Security Deposit 
Property type: Condo
Bedrooms: 2
Bathrooms: 2
Sq. Footage: 1,125 sq ft.
Level: Lower
Other: Fire Place & Large Patio, Covered Parking & additional parking space
 Refrigerator, full size washer & dryer, water & garbage included. Indoor cats ok with additional deposit**You may rent this home furnished for a total of $3,500 monthly rent to include: Both bedroom sets with queen mattresses & dresser/mirror for master bedroom and TV Stand and futon for living room.
 Clubhouse access, gym, pool & hot tub, sauna, tennis courts and play area
Please contact realtor for an application. Completed application with a non-refundable app fee of $35 for each applicant over the age of 18 years old, 2 recent pay stubs, recent credit report, and 2 references. Minimum of a one year lease agreement. Employment & credit will be verified 
JENNIFER DIAZ
- Don Rhodes Real Estate ***If interested, please  me your full name and email address and I will respond with application information. Feel free to text me with questions!
*Home available to show after April 4th, 2016.
",37.773196,-122.145704,1125,"Location, Location! Oakland hills in a upscale gated community.",1500
19,Santa Clara Ave at 8th Street,1,1,"
Large One Bedroom Lots of Closet Space - Utilities Included
757 Santa Clara Avenue, Alameda, CA
Between Webster and 8th Street
One bedroom apartments on 1st floor of three story apartment building (classic alameda apartment building). Lots of closet space. Available now
Please call
to schedule an appointment to view either unit on weekends or in the evening during the workweek (weekdays viewings possible 9AM-1PM).
About the Unit and Building:
â€¢	All Utility are included (Water, Garbage, & Electricity). Cable and telephone not included.
â€¢	Approximately 700 Square Feet & 9 foot ceilings
â€¢	Freshly Painted
â€¢	Newly Refinished Hardwood Floors
â€¢	New Blinds
â€¢	Large living room with nine foot ceiling
â€¢	Two large closets, one walk-in build-in dresser
â€¢	Separate kitchen has eat-in area and built-in ironing board, with New Gas Stove
â€¢	Full Bathroom with Tub and Shower, and New Bathroom Vanity and New Toilet 
â€¢	Spacious Bedroom
â€¢	On-Site Laundry Room	
â€¢	12 unit classic Alameda building in Quiet Neighborhood
â€¢	Cable-ready
â€¢	Intercom system
â€¢	Secured entry
â€¢	Controlled access
About the Neighborhood:
â€¢	Public Library on same block 
â€¢	Short Walk To Restaurants and Shops.
â€¢	Close to new Alameda Landing shopping center (http://alamedalanding.com/).
â€¢	Walking distance to Farmers market on Tuesdays and Saturdays
â€¢	Crown Memorial State Beach 2 blocks away
â€¢	Washington Park 2 blocks away
â€¢	Dog park is 2 blocks away
â€¢	Close to 11 miles of biking and walking trails
â€¢	Close to Alameda's Schools
â€¢	Quiet neighborhood
Transportation
â€¢	Close To I-880 and Public Transportation
â€¢	Oakland Int'l Airport 9 Minutes
â€¢	SF: Public transportation is 1 block to SF Express Bus (about 30 minutes to downtown San Francisco with O Transbay Bus), 7minutes to Alameda Ferry Terminal to San Francisco (http://sanfranciscobayferry.com/route/alameda/sffb
â€¢	Oakland: 10 Minutes away from BART by car, 15 minute bus to Downtown Oakland/BART (Bus lines 51A, 20 and 31, Free shuttle to Lake Merritt BART (Oakland) and china town (http://alamedaca.gov/about-alameda/estuary-crossing-shuttle)
â€¢	Berkeley: Commute to UC Berkeley with bus or free shuttle to BART
First month rent, plus $1,500 deposit
Good credit required - Credit check as part of application process.
Deposit and first month's rent due at move-in.
12 month lease
No Smoking (Non-Smoking Building). 
No Pets.
",37.773428,-122.27328,700,Large One Bedroom Lots of Closet Space - Utilities Included,2000
20,Paru St at Buena Vista Ave,3,4,"
-Address: XX Paru Street, Alameda, CA 94501 (1 Block to the Marina)
-Rent: $4895/Mo., SecDep: $6000.
-Avail: After March 1, 2016. 
-Credit check required: $30/person. 
-Each person 18 Years Old or older needs to fill out an application. 
-Cat or small DOG(<15lbs) OK, additional dep: $600 plus $20/mo extra. 
********************************************************************************
PLEASE CALL FOR SHOWING TIME. TENANT IS STILL THERE. DO NOT DISTURB. 
PLEASE CALL STEVE:
OR TRISHA:
FOR SHOWING.
For additional pictures & rental application, please goto: www.sbc247.com
******************************************************************************** 
This beautiful home is located in a very desirable area near by the Alameda Marina. It is one short block (2min) to the Marina. The whole community was built around 2002. It is also a short distance to San Francisco/Oakland/Berkeley Area. 
- 4Br/3Ba house, 2-story, approx. 2500sf. 
- Spacious master Bedroom is upstairs with its large master bath. 
- 2 other upstairs bedrooms share 1 bath. 
- 1 downstairs bedroom with a French double door open to the backyard that can be used for guest/office. 
- A full bath is next to the downstairs bedroom & the living room. 
- A sliding door in the kitchen breakfast nook is open to the beautiful entertaining backyard with trellises. 
- Family room with fireplace is adjacent to the spacious kitchen. 
- Laundry room with washer & dryer hook-ups is next to the bathroom. 
- 2-car garage with automatic opener. 
- Low maintenance front & back yards. 
- Good school district. 
- Close to shops, and easy access to Freeway 880. 
- 1-Year lease required. 
Please drive by the property first. PLEASE DO NOT DISTURB CURRENT TENANT. If interested, please give us a call for more info & schedule a showing at your convenience. 
Trisha:
(cell) 
Stephen:
(cell) 
",37.776583,-122.254894,2500,"3Ba, Executive Home near Marina ***PHOTOS***",1223
21,Paru St at Clement Ave,3,4,"
-Addr: xx Paru Street, Alameda, CA 94501 (near Clement Ave)
-4Br/3Ba, approx. 2455sf. 
-Avail: After 3/1/2016.
-Rent: $4895/Mo., Sec Dep: $6000.
-Cat or small DOG (<15lbs) OK, add. dep: $800 plus $20/mo extra.
-Credit check required: $30/person. Employment verification is required.
-Each adult 18yrs or older needs to fill out an application.
-NO SEC-8.
***TENANT IS STILL THERE. PLEASE DO NOT DISTURB. PLEASE CALL FOR SHOWING TIME. THANKS.***
This beautiful executive home is located in a very desirable area near the Alameda Marina. It is one short block to the Marina & Children Park. The whole community was built around 2002. It is also a short ferry distance to San Francisco, Oakland, Berkeley Area.
- 4Br/3Ba house, 2-story, approx. 2455sf.
- Spacious master Bedroom is upstairs with its large master bath.
- 2 other upstairs bedrooms share 1 bath.
- 1 downstairs bedroom with a French double door (open to thebackyard) that can be used for guest/office.
- A full bath is next to the downstairs bedroom & the living room.
- A sliding door in the kitchen breakfast nook is open to thebeautiful entertaining backyard with trellises.
- Family room with fireplace & is adjacent to the spacious kitchen.
- Laundry room with washer/dryer hook-up is next to bathroom.
- 2-car garage with automatic opener.
- Low maintenance front & back yards.
- Close to shops, and easy access to Freeway 880.
- Good school district.
- School District: Alameda
- Elementary School: Franklin Elementary
- Middle School: Call School District
- High School: Alameda High
- 1-Year lease required.
- For Rental Application. Please goto: sbc247.com.
Please drive by the area first. If interested, please give us a call for more info or showing at your convenience.
Trisha:
(cell)
Stephen:
(cell)
",37.776855,-122.254786,2456,"Alameda, Exec SFH 4Br/3Ba, Built 2002, near MARINA",1223
